,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
38,0.7304430961608886,0.0622657299041748,0.6851490018337398,0.690397824456437,True,gini,,0.1,0.01,0.5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.1, 'min_samples_leaf': 0.01, 'min_samples_split': 0.5, 'n_estimators': 100}",108,0.6898133371278772,0.6947986691545018,0.6849042895044184,0.6967714741714258,0.6795632241717243,0.6833664588494716,0.6981108245740761,0.696362420396289,0.6733499704879182,0.680690099710497,0.01991506466392998,0.006782266828678555,0.008487859721495475,0.006917329998103523
39,0.9218513488769531,0.07349576950073242,0.6820655263270597,0.6878433170585543,True,gini,,0.1,0.1,0.01,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.1, 'min_samples_leaf': 0.1, 'min_samples_split': 0.01, 'n_estimators': 100}",120,0.6957505139928959,0.6966920841851679,0.6737958693661156,0.6909331667940091,0.686467538429342,0.6905469022157589,0.6857736049884448,0.6884455571449575,0.668534544905674,0.6725988749528786,0.022142691560448496,0.009903400805569508,0.009714751526073935,0.00809830762549748
40,0.8858561038970947,0.06657791137695312,0.6888197345423808,0.6950327596111493,True,gini,,0.1,0.1,0.1,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.1, 'min_samples_leaf': 0.1, 'min_samples_split': 0.1, 'n_estimators': 100}",100,0.6950317254047615,0.6957725020778853,0.6668514718027305,0.6887590053155626,0.6902719363977794,0.6944573595926544,0.6925793283781929,0.6954239749842143,0.6993650959931154,0.70075095608543,0.03444433800591723,0.0031129983898183604,0.011389702785817397,0.003823326233696745
41,0.7400687217712403,0.07128963470458985,0.6898234511475912,0.69395901054306,True,gini,,0.1,0.1,0.5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.1, 'min_samples_leaf': 0.1, 'min_samples_split': 0.5, 'n_estimators': 100}",97,0.6942308216884052,0.6930750143355804,0.674881494058107,0.6917889398224704,0.6765950905404524,0.6787334203976783,0.7013295843487771,0.7042376792958968,0.7020818689933902,0.701959998863674,0.018478274759935298,0.005184512083894944,0.011834776722145878,0.009021929914818544
42,0.5522693634033203,0.06076207160949707,0.5,0.5,True,gini,,0.1,0.5,0.01,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.1, 'min_samples_leaf': 0.5, 'min_samples_split': 0.01, 'n_estimators': 100}",145,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.02307618130194134,0.006054344344848595,0.0,0.0
43,0.5426437377929687,0.05985870361328125,0.5,0.5,True,gini,,0.1,0.5,0.1,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.1, 'min_samples_leaf': 0.5, 'min_samples_split': 0.1, 'n_estimators': 100}",145,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.011337916373128063,0.007234850379280225,0.0,0.0
44,0.5709185123443603,0.053241729736328125,0.5,0.5,True,gini,,0.1,0.5,0.5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.1, 'min_samples_leaf': 0.5, 'min_samples_split': 0.5, 'n_estimators': 100}",145,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.029731279265780442,0.002359206363824734,0.0,0.0
45,5.219483947753906,0.10106921195983887,0.7307512650785776,0.7544613364626706,True,gini,,0.5,0.01,0.01,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 0.01, 'min_samples_split': 0.01, 'n_estimators': 100}",2,0.7402251360594243,0.753578091913157,0.7194160157700383,0.7559399663623716,0.7280132519628162,0.7544190424419076,0.7267131464241754,0.7558069062907345,0.7393886042812794,0.752562675305182,0.03737419543129249,0.007607139743192686,0.007958039330867398,0.0012948921539556602
46,3.451280450820923,0.07279381752014161,0.7260828452713972,0.7337100345040641,True,gini,,0.5,0.01,0.1,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 0.01, 'min_samples_split': 0.1, 'n_estimators': 100}",8,0.7357110537367586,0.7323197645447758,0.7141302232063493,0.7366353537357252,0.7261128813399131,0.7334354673862943,0.7228800572473992,0.734719364316454,0.7315791667229874,0.7314402225370713,0.0441659882571947,0.0038628051507239086,0.007430324918109976,0.0018295640630854686
47,1.164397621154785,0.06417078971862793,0.6930891998928128,0.6961409702765925,True,gini,,0.5,0.01,0.5,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': None, 'max_features': 0.5, 'min_samples_leaf': 0.01, 'min_samples_split': 0.5, 'n_estimators': 100}",82,0.6997461742646126,0.6924511211577409,0.6863207069513735,0.6980585802284621,0.697164155342078,0.6984137294642037,0.6968475675481056,0.6989968585900967,0.6853644573156171,0.6927845619424593,0.03740096619915037,0.012874639803693298,0.006008775325584575,0.002894105172135919
